Team,KADJ O,KADJ D,KADJ T,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS
Louisville,124.1,98.6,69.6,124.034,98.166,0.936,23–10,23,33,56.4,48.8,33.5,33.4,16.4,16.7,32.9,26.9,71,59.7,48.6,35.7,32.7,9.2,12.4,59.5,48.3,52.8,39.1,69.712,78.246,81.646,2.208,"2,026",0,0,39.12,76.9,71.2,1.194,1.017,35.248
BYU,125.5,102.2,69.9,124.746,104.326,0.887,23–11,23,34,54.7,51.2,34.2,28.9,15.3,16.5,34.6,29.3,70.4,56.2,50,34.9,35.3,11.9,7.9,45.4,54.3,39.8,39.2,69.779,78.108,80.916,1.463,"2,026",0,0,48.949,74.6,71.3,1.187,1.065,38.234
Kentucky,120.5,99,68.3,119.911,99.986,0.89,21–13,21,34,53.1,48.8,37.5,37,15,15.8,33.8,30.1,69.8,54.4,49.6,34.1,31.6,12.3,8.7,57,55.2,39.2,39.5,68.319,78.765,81.87,1.581,"2,026",0,0,85.092,72.8,73,1.157,1.058,40.797
Saint Mary's,120.3,97.2,65.2,119.389,97.586,0.91,26–5,26,31,52.9,46.7,35.8,25.7,16.4,15.2,37.6,23.8,66.4,50.2,46.6,38.6,31.2,9.7,8.9,58,52.7,36.1,36.8,65.302,78.715,82.369,1.349,"2,026",0,0,36.989,81.1,72.3,1.169,0.984,22.727
Miami FL,121.4,100.7,67.6,121.077,101.466,0.884,25–8,25,33,55.6,51.7,37.5,29,16.2,18.4,37,26.3,69.3,57.2,50.8,34.7,35.4,10,10.2,53.7,54.3,31.7,40.9,67.93,78.417,81.492,1.67,"2,026",0,0,80.783,68.5,69.7,1.182,1.027,29.331
UCLA,123.7,102.1,64.6,124.518,101.761,0.911,23–11,23,34,53.9,50.4,33.1,34.7,13.4,18.1,31.1,32.4,65.7,52,52.7,38.2,31.8,9.4,8.1,59.4,63.3,35.9,44.7,64.688,77.997,81.299,2.244,"2,026",0,0,70.281,76.7,75.3,1.17,1.069,36.27
Clemson,116.5,97.3,64.2,116.541,96.955,0.892,24–10,24,34,52.6,48.9,37.1,33.1,14.2,17.5,28.1,25.7,65.5,53.8,49,34.1,32.6,9.1,10.3,50.2,46.4,42.9,42.9,64.273,77.953,81.538,2.344,"2,026",0,0,43.89,72.6,74.7,1.124,1.012,31.538
Villanova,120.4,100.4,65.2,119.612,100.539,0.881,24–8,24,32,53.7,51.3,31.3,28.9,15.1,18.7,32.4,31.7,66.5,54.4,51.5,35.3,33.9,6,7.5,56.8,53.7,45.7,36.9,64.946,77.57,80.705,1.548,"2,026",0,0,63.75,69.4,71.8,1.148,1.053,30.122
Ohio St.,124.3,102.1,66.1,125.217,101.608,0.917,21–12,21,33,56.5,50.3,37.8,35.1,15.4,15.8,30.8,30,66.6,58.2,52.3,36,31.6,7,8.8,52,53.4,40.1,40.3,66.161,77.666,81.619,1.779,"2,026",0,0,68.946,77.5,74.3,1.186,1.082,37.869
Georgia,124.7,104.2,71.4,124.317,104.76,0.877,22–10,22,32,54.6,50.1,37,30.8,14.3,18.4,35.2,34.9,73.5,57.3,49.9,34.1,33.7,15.1,9.6,48.4,47.3,43.9,37.6,72.026,77.415,81.51,1.553,"2,026",0,0,61.02,75.4,71.7,1.205,1.062,32.391
Utah St.,122.1,101.4,67.7,123.029,102.086,0.895,27–6,27,33,56.6,49.6,38.7,38.9,15.4,20.6,33.1,32.2,68.3,59.3,48.7,35.1,33.9,8.8,9.9,59.8,49.6,40.7,40.9,67.554,77.68,80.956,2.185,"2,026",0,0,26.458,70.6,73.3,1.191,1.033,23.033
TCU,115.4,97.8,67.7,114.85,99.655,0.836,22–11,22,33,50.9,51,38.7,30.4,15.5,19.7,34.4,29.2,69.7,51.6,51.3,33.1,33.7,12.6,9.9,57.6,61,36.9,38.1,67.58,76.426,79.205,1.807,"2,026",0,0,50.351,70.8,71.9,1.111,1.023,33.811
Saint Louis,119.5,101.2,71,119.569,102.227,0.858,27–5,27,32,59.7,44.8,34.7,37.2,17.4,16.1,31.1,27,71.9,58.9,44.6,40.5,30,9.5,10.7,60.2,51.6,45.1,41.6,71.014,77.534,80.111,1.939,"2,026",0,0,21.913,74.4,73.2,1.202,0.983,15.895
Iowa,121.7,99.3,63,122.131,100.191,0.907,21–12,21,33,56.6,52.7,34.5,39.1,15.2,21,30.1,28,63.4,58.7,54,35.7,33.7,6.7,8.3,58,51,41.6,39.1,63.027,78.486,80.798,1.776,"2,026",0,0,14.299,77,73.1,1.182,1.037,35.51
Santa Clara,123.6,104.2,69.2,124.996,103.712,0.895,25–8,25,33,54.6,51.8,25.8,38.3,15.6,20.1,36.7,32.3,69.6,56.5,53.2,34.9,33,10.6,8.4,55,60.5,45,38.2,69.257,78.351,81.822,1.435,"2,026",0,0,20.016,74,73.6,1.191,1.05,24.151
UCF,120.5,105.4,69.2,119.999,105.672,0.812,21–11,21,32,52.8,52.4,30.8,35.2,15.7,15.8,34.4,28.5,70.6,52.1,53.2,36.2,34,8.3,9,53.6,51.3,34.4,39.7,69.116,78.696,82.08,2.429,"2,026",0,0,42.096,74,74.3,1.137,1.102,33.921
Missouri,119.5,104.1,66.2,119.921,103.027,0.851,20–12,20,32,55.3,51.4,42.5,35.1,18,16.6,35.5,31.4,68.4,56.9,48.9,35,36.5,10.4,9.8,50.6,51.8,36,43.1,66.38,79.275,82.794,2.282,"2,026",0,0,66.401,68.6,74.7,1.156,1.094,34.025
Texas A&M,119.7,101,70.5,119.889,101.391,0.873,21–11,21,32,54.2,50.8,37.4,35.6,14.6,18.3,32.3,32.5,72.6,54.1,53.1,36.2,31.7,8.9,11.5,61.3,56.3,46.3,41.5,71.016,77.082,80.342,2.497,"2,026",0,0,29.541,73.7,74.8,1.182,1.072,32.472
North Carolina St.,121.4,100.5,67.9,124.079,104.635,0.877,20–13,20,33,55.3,53,35.2,36.5,13.1,18.2,28.5,30.3,69.6,53.1,52.7,38.8,35.6,10.6,9.3,54.8,49.4,43.9,45.3,69.092,77.762,79.315,2.189,"2,026",0,0,63.205,76.8,69.8,1.19,1.088,32.779
Texas,125,105.9,66.9,124.057,106.393,0.854,17–14,17,31,54.2,51.2,46.2,40.7,15.3,13.4,35.7,26.9,68.6,55.3,49.8,34.9,36,7.4,10.5,43.1,45.8,36.2,33.3,67.099,78.112,81.402,2.238,"2,026",0,0,55.968,75.3,74,1.195,1.11,37.671
SMU,122.9,104.8,68.5,123.046,104.973,0.861,20–13,20,33,55.7,51.4,30.6,32,15.9,17.1,35.4,31.6,70.7,55.5,52,37.4,33.9,11.2,7.6,55.1,60.6,36,47.2,68.622,78.116,82.065,2.034,"2,026",0,0,44.289,74.1,71.8,1.182,1.089,32
